facility number,average,,,40,,
Methods,$Q$ (\%),Gap (%),Time (s),$Q$ (\%),Gap (%),Time (s)
Gurobi,503.84,0.00,10.41,503.84 $\pm$ 225.23,0.00 $\pm$ 0.00,10.41 $\pm$ 0.84
LNS-reloc,430.16,12.58,0.54,430.16 $\pm$ 206.93,12.58 $\pm$ 3.44,0.54 $\pm$ 0.19
Random-reloc,-0.24,82.54,0.08,-0.24 $\pm$ 26.89,82.54 $\pm$ 5.34,0.08 $\pm$ 0.01
Greedy-reloc,493.63,2.00,128.07,493.63 $\pm$ 229.18,2.00 $\pm$ 2.73,128.07 $\pm$ 109.50
PPO-swap,447.42,9.51,0.28,447.42 $\pm$ 209.48,9.51 $\pm$ 4.21,0.28 $\pm$ 0.06
