facility number,average,40
Gurobi,1.24e+07,1.24e+07 $\pm$ 2.7e+06
GA,1.12e+07,1.12e+07 $\pm$ 2.79e+06
LNS,1.21e+07,1.21e+07 $\pm$ 2.86e+06
Random-swap,3.99e+06,3.99e+06 $\pm$ 6.62e+05
PPO-swap,1.21e+07,1.21e+07 $\pm$ 2.88e+06
