facility number,average,,40,
Methods,Gap (%),Time (s),Gap (%),Time (s)
Gurobi,0.00,10.47,0.00 $\pm$ 0.00,10.47 $\pm$ 0.06
GA,10.01,28.46,10.01 $\pm$ 2.84,28.46 $\pm$ 0.05
LNS,2.68,5.19,2.68 $\pm$ 1.87,5.19 $\pm$ 0.04
Random-swap,67.42,1.04,67.42 $\pm$ 1.77,1.04 $\pm$ 0.03
PPO-swap,3.09,4.47,3.09 $\pm$ 2.10,4.47 $\pm$ 0.01
