facility number,average,40
Gurobi,0.00,0.00 $\pm$ 0.00
GA,14.81,14.81 $\pm$ 3.34
LNS,6.19,6.19 $\pm$ 4.86
Random-swap,64.80,64.80 $\pm$ 4.26
Greedy-filter,6.09,6.09 $\pm$ 4.90
PPO-swap,5.52,5.52 $\pm$ 3.88
