facility number,average,,40,
Methods,Gap (%),Time (s),Gap (%),Time (s)
Gurobi,0.00,13.53,0.00 $\pm$ 0.00,13.53 $\pm$ 1.23
GA,14.81,285.54,14.81 $\pm$ 3.34,285.54 $\pm$ 67.13
LNS,6.19,1044.11,6.19 $\pm$ 4.86,1044.11 $\pm$ 781.54
Random-swap,64.80,46.89,64.80 $\pm$ 4.26,46.89 $\pm$ 6.64
Greedy-filter,6.09,1174.40,6.09 $\pm$ 4.90,1174.40 $\pm$ 1520.62
PPO-swap,5.52,19.58,5.52 $\pm$ 3.88,19.58 $\pm$ 6.06
