facility number,average,,,40,,
Methods,$Q$ (\%),Gap (%),Time (s),$Q$ (\%),Gap (%),Time (s)
Gurobi,459.68,0.00,8.75,459.68 $\pm$ 192.16,0.00 $\pm$ 0.00,8.75 $\pm$ 0.09
LNS-reloc,394.25,11.92,0.27,394.25 $\pm$ 175.87,11.92 $\pm$ 2.82,0.27 $\pm$ 0.01
Random-reloc,16.27,78.74,0.07,16.27 $\pm$ 37.63,78.74 $\pm$ 4.02,0.07 $\pm$ 0.00
Greedy-reloc,451.11,1.52,48.35,451.11 $\pm$ 189.46,1.52 $\pm$ 2.53,48.35 $\pm$ 10.80
PPO-swap,417.37,7.65,0.18,417.37 $\pm$ 182.07,7.65 $\pm$ 3.87,0.18 $\pm$ 0.06
