facility number,average,40
Gurobi,1.31e+07,1.31e+07 $\pm$ 3.04e+06
LNS-reloc,1.15e+07,1.15e+07 $\pm$ 2.68e+06
Random-reloc,2.75e+06,2.75e+06 $\pm$ 7.61e+05
Greedy-reloc,1.29e+07,1.29e+07 $\pm$ 3.07e+06
PPO-swap,1.2e+07,1.2e+07 $\pm$ 2.79e+06
