facility number,average,40
Gurobi,8.75,8.75 $\pm$ 0.09
LNS-reloc,0.27,0.27 $\pm$ 0.01
Random-reloc,0.07,0.07 $\pm$ 0.00
Greedy-reloc,48.35,48.35 $\pm$ 10.80
PPO-swap,0.18,0.18 $\pm$ 0.06
