facility number,average,,40,
Methods,Gap (%),Time (s),Gap (%),Time (s)
Gurobi,0.00,12.56,0.00 $\pm$ 0.00,12.56 $\pm$ 1.51
GA,13.55,30.23,13.55 $\pm$ 3.89,30.23 $\pm$ 2.98
LNS,4.37,5.23,4.37 $\pm$ 5.27,5.23 $\pm$ 0.25
Random-swap,61.32,1.02,61.32 $\pm$ 5.30,1.02 $\pm$ 0.03
PPO-swap,3.47,4.55,3.47 $\pm$ 4.00,4.55 $\pm$ 0.14
