facility number,average,,40,
Methods,Gap (%),Time (s),Gap (%),Time (s)
Gurobi,0.00,10.71,0.00 $\pm$ 0.00,10.71 $\pm$ 0.09
GA,19.27,27.88,19.27 $\pm$ 0.51,27.88 $\pm$ 0.10
LNS,2.81,5.30,2.81 $\pm$ 1.91,5.30 $\pm$ 0.13
Random-swap,64.55,1.02,64.55 $\pm$ 2.79,1.02 $\pm$ 0.05
PPO-swap,2.84,4.66,2.84 $\pm$ 2.25,4.66 $\pm$ 0.01
