facility number,average,40
Gurobi,0.00,0.00 $\pm$ 0.00
GA,19.27,19.27 $\pm$ 0.51
LNS,2.81,2.81 $\pm$ 1.91
Random-swap,64.55,64.55 $\pm$ 2.79
PPO-swap,2.84,2.84 $\pm$ 2.25
