facility number,average,,40,
Methods,Gap (%),Time (s),Gap (%),Time (s)
Gurobi,0.00,10.86,0.00 $\pm$ 0.00,10.86 $\pm$ 0.04
GA,15.51,28.75,15.51 $\pm$ 2.41,28.75 $\pm$ 0.14
LNS,2.84,5.29,2.84 $\pm$ 2.19,5.29 $\pm$ 0.03
Random-swap,63.68,1.03,63.68 $\pm$ 1.43,1.03 $\pm$ 0.03
Greedy-filter,2.32,817.36,2.32 $\pm$ 2.01,817.36 $\pm$ 25.03
PPO-swap,3.00,6.91,3.00 $\pm$ 2.12,6.91 $\pm$ 2.29
