facility number,average,40
Gurobi,10.86,10.86 $\pm$ 0.04
GA,28.75,28.75 $\pm$ 0.14
LNS,5.29,5.29 $\pm$ 0.03
Random-swap,1.03,1.03 $\pm$ 0.03
Greedy-filter,817.36,817.36 $\pm$ 25.03
PPO-swap,3.51,6.91 $\pm$ 2.29
