facility number,average,,40,
Methods,Gap (%),Time (s),Gap (%),Time (s)
Gurobi,0.00,11.39,0.00 $\pm$ 0.00,11.39 $\pm$ 0.72
Greedy-filter,4.24,10430.95,4.24 $\pm$ 5.33,10430.95 $\pm$ 9534.72
