﻿Method,A1B1,,A1B2,,A2B1,,A2B2,
,Gap(%),T(s),Gap(%),T(s),Gap(%),T(s),Gap(%),T(s)
Gurobi ,0.00 ,9.00 ,0.00 ,9.49 ,0.00 ,10.41 ,0.00 ,8.75 
Random_Reloc,81.99 ,0.07 ,81.59 ,0.07 ,82.54 ,0.08 ,78.74 ,0.07 
LNS_Reloc,11.05 ,0.21 ,11.87 ,0.43 ,12.58 ,0.54 ,11.92 ,0.27 
Greedy_Reloc,3.97 ,32.12 ,4.66 ,42.91 ,2.00 ,128.07 ,1.52 ,48.35 
PPO_Reloc,6.76 ,0.18 ,7.69 ,0.40 ,9.51 ,0.28 ,7.65 ,0.18 
