﻿Method,A1B1,,A1B2,,A2B1,,A2B2,
,Gap(%),T(s),Gap(%),T(s),Gap(%),T(s),Gap(%),T(s)
Gurobi ,0.00 ,11.21 ,0.00 ,10.69 ,0.00 ,10.86 ,0.00 ,12.56 
Random,59.81 ,1.19 ,61.70 ,1.54 ,61.74 ,1.18 ,61.32 ,1.02 
LNS,9.00 ,5.12 ,11.02 ,6.35 ,6.25 ,5.72 ,4.37 ,5.32 
Greedy,8.95 ,547.61 ,11.01 ,654.78 ,6.09 ,578.09 ,4.24 ,588.37 
GA,10.27 ,30.91 ,9.47 ,30.41 ,14.23 ,36.94 ,13.55 ,30.23 
PPO,6.89 ,5.13 ,7.18 ,5.08 ,5.35 ,4.76 ,3.47 ,4.55 
