facility number,average,,,40,,
Methods,$Q$ (\%),Gap (%),Time (s),$Q$ (\%),Gap (%),Time (s)
Gurobi,577.77,0.00,8.62,577.77 $\pm$ 257.52,0.00 $\pm$ 0.00,8.62 $\pm$ 0.29
LNS-reloc,496.55,12.09,0.29,496.55 $\pm$ 228.24,12.09 $\pm$ 0.27,0.29 $\pm$ 0.04
Random-reloc,28.96,79.66,0.06,28.96 $\pm$ 28.96,79.66 $\pm$ 3.46,0.06 $\pm$ 0.00
Greedy-reloc,567.15,1.14,42.93,567.15 $\pm$ 246.90,1.14 $\pm$ 1.14,42.93 $\pm$ 9.03
PPO-swap,499.27,11.26,1.23,499.27 $\pm$ 222.73,11.26 $\pm$ 0.86,1.23 $\pm$ 1.00
