facility number,average,40
Gurobi,6.78e+06,6.78e+06 $\pm$ 1.1e+06
GA,6.13e+06,6.13e+06 $\pm$ 9.77e+05
LNS,6.03e+06,6.03e+06 $\pm$ 1.14e+06
Random-swap,2.59e+06,2.59e+06 $\pm$ 5.63e+05
PPO-swap,6.27e+06,6.27e+06 $\pm$ 1.09e+06
