facility number,average,,40,
Methods,Gap (%),Time (s),Gap (%),Time (s)
Gurobi,0.00,10.69,0.00 $\pm$ 0.00,10.69 $\pm$ 0.08
GA,9.47,30.41,9.47 $\pm$ 3.80,30.41 $\pm$ 1.37
LNS,11.02,6.35,11.02 $\pm$ 9.09,6.35 $\pm$ 0.44
Random-swap,61.70,1.54,61.70 $\pm$ 6.49,1.54 $\pm$ 0.08
PPO-swap,7.18,5.08,7.18 $\pm$ 8.72,5.08 $\pm$ 0.17
