facility number,average,40
Gurobi,9.49,9.49 $\pm$ 0.80
LNS-reloc,0.43,0.43 $\pm$ 0.13
Random-reloc,0.07,0.07 $\pm$ 0.01
Greedy-reloc,42.91,42.91 $\pm$ 9.97
PPO-swap,0.40,0.40 $\pm$ 0.05
