facility number,average,,,40,,
Methods,$Q$ (\%),Gap (%),Time (s),$Q$ (\%),Gap (%),Time (s)
Gurobi,520.34,0.00,9.49,520.34 $\pm$ 276.40,0.00 $\pm$ 0.00,9.49 $\pm$ 0.80
LNS-reloc,449.46,11.87,0.43,449.46 $\pm$ 265.03,11.87 $\pm$ 5.65,0.43 $\pm$ 0.13
Random-reloc,5.83,81.59,0.07,5.83 $\pm$ 30.79,81.59 $\pm$ 5.42,0.07 $\pm$ 0.01
Greedy-reloc,492.32,4.66,42.91,492.32 $\pm$ 278.15,4.66 $\pm$ 6.27,42.91 $\pm$ 9.97
PPO-swap,474.89,7.69,0.40,474.89 $\pm$ 274.22,7.69 $\pm$ 6.04,0.40 $\pm$ 0.05
