facility number,average,,40,
Methods,Gap (%),Time (s),Gap (%),Time (s)
Gurobi,0.00,12.96,0.00 $\pm$ 0.00,12.96 $\pm$ 0.83
GA,9.29,156.01,9.29 $\pm$ 2.97,156.01 $\pm$ 91.65
LNS,11.02,147.83,11.02 $\pm$ 9.10,147.83 $\pm$ 20.76
Random-swap,62.51,17.32,62.51 $\pm$ 3.74,17.32 $\pm$ 3.05
PPO-swap,7.75,15.71,7.75 $\pm$ 8.18,15.71 $\pm$ 4.09
