facility number,average,,40,
Methods,Gap (%),Time (s),Gap (%),Time (s)
Gurobi,0.00,10.86,0.00 $\pm$ 0.00,10.86 $\pm$ 0.14
GA,14.23,36.94,14.23 $\pm$ 3.03,36.94 $\pm$ 20.17
LNS,6.25,5.72,6.25 $\pm$ 4.86,5.72 $\pm$ 0.36
Random-swap,61.74,1.18,61.74 $\pm$ 4.34,1.18 $\pm$ 0.08
PPO-swap,5.35,4.76,5.35 $\pm$ 3.69,4.76 $\pm$ 0.24
